hotel_url,Restaurant,Spot
https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d300630-Reviews-The_Landis_Resort_Yangmingshan-Shilin_Taipei.html,https://www.tripadvisor.com.tw/Restaurant_Review-g13806427-d5824260-Reviews-Qingcaiyuan_Restaurant-Beitou_Taipei.html,https://www.tripadvisor.com.tw/Attraction_Review-g13806427-d487352-Reviews-Yangmingshan_National_Park-Beitou_Taipei.html
https://www.tripadvisor.com.tw/Hotel_Review-g13806657-d581277-Reviews-Tien_Lai_Resort_Spa-Jinshan_New_Taipei.html,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d4105740-Reviews-Tha_Top-Shilin_Taipei.html,https://www.tripadvisor.com.tw/Attraction_Review-g13806879-d6957001-Reviews-Yang_Ming_Shan_Qing_Tian_Gang-Shilin_Taipei.html
https://www.tripadvisor.com.tw/Hotel_Review-g13806657-d7784691-Reviews-Tsuwu_Hot_Spring_Hotel-Jinshan_New_Taipei.html,https://www.tripadvisor.com.tw/Restaurant_Review-g13806427-d6134027-Reviews-Starbucks-Beitou_Taipei.html,https://www.tripadvisor.com.tw/Attraction_Review-g13806427-d6955832-Reviews-Zhuzihu-Beitou_Taipei.html
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d3893156-Reviews-International_Hotel-Beitou_Taipei.html,https://www.tripadvisor.com.tw/Restaurant_Review-g13806427-d5970683-Reviews-Green_Mountain_s_Chateau-Beitou_Taipei.html,https://www.tripadvisor.com.tw/Attraction_Review-g13806427-d4749955-Reviews-Xiaoyoukeng_Recreation_Area-Beitou_Taipei.html
https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d15243467-Reviews-American_Village_Resort-Shilin_Taipei.html,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d10519799-Reviews-VVG_Hideaway-Shilin_Taipei.html,https://www.tripadvisor.com.tw/Attraction_Review-g13806427-d6955907-Reviews-Qixing_Mountain-Beitou_Taipei.html
https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d15019649-Reviews-Renaissance_Taipei_Shihlin_Hotel-Shilin_Taipei.html,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d12188279-Reviews-Com_In_Dim_Yangming_Mountain-Shilin_Taipei.html,https://www.tripadvisor.com.tw/Attraction_Review-g13806879-d11949477-Reviews-Flower_Village_Hot_Spring-Shilin_Taipei.html
https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d7736878-Reviews-Mellow_Fields_Hotel-Shilin_Taipei.html,https://www.tripadvisor.com.tw/Restaurant_Review-g13806427-d6136795-Reviews-Guan_Chen_Can_Guan-Beitou_Taipei.html,https://www.tripadvisor.com.tw/Attraction_Review-g13806427-d10794024-Reviews-Yangmingshan_Zhongshan_Hall-Beitou_Taipei.html
https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d1760084-Reviews-Beauty_Hotels_Taipei_Beautique_Hotel-Shilin_Taipei.html,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d12075909-Reviews-Brick_Yard_33_1_3-Shilin_Taipei.html,https://www.tripadvisor.com.tw/Attraction_Review-g13806879-d13215004-Reviews-Tian_Xi_Yuan-Shilin_Taipei.html
https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d7655427-Reviews-Yangmingshan_Jing_Shan_Recreation_Area-Shilin_Taipei.html,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d7148887-Reviews-Night_Fever-Shilin_Taipei.html,https://www.tripadvisor.com.tw/Attraction_Review-g13806427-d6974313-Reviews-Siaoyoukeng_Recreation_Area-Beitou_Taipei.html
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d1916399-Reviews-Mrt_Stay_Ximending-Wanhua_Taipei.html,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d4845103-Reviews-Caoshan_Yeweimian-Shilin_Taipei.html,https://www.tripadvisor.com.tw/Attraction_Review-g13806427-d6955926-Reviews-Longfong_Valley_Liouhuang_Valley_Recreation_Area-Beitou_Taipei.html
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d2153570-Reviews-Gloria_Residence-Zhongshan_District_Taipei.html,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d6146263-Reviews-Navi_Garden-Shilin_Taipei.html,https://www.tripadvisor.com.tw/Attraction_Review-g13806427-d6964075-Reviews-Ci_Sing_Park-Beitou_Taipei.html
https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d2337331-Reviews-Pink_Lotus_Hotel-Beitou_Taipei.html,https://www.tripadvisor.com.tw/Restaurant_Review-g13806879-d4232256-Reviews-BackGarden_Restaurant-Shilin_Taipei.html,https://www.tripadvisor.com.tw/Attraction_Review-g13806427-d6554011-Reviews-Yang_Ming_Shu_Wu_Mansion-Beitou_Taipei.html
https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d2035389-Reviews-Dandy_Hotel_Tianmu_Branch-Shilin_Taipei.html,,https://www.tripadvisor.com.tw/Attraction_Review-g13806921-d6554617-Reviews-Erziping_Trail-Tamsui_New_Taipei.html
